id,name,description,params
TSS,TSS,Traffic separation scheme,
SRR_REGION,SRR_REGION,Search and Rescue region,
EEZ,EEZ,Exclusive Economic Zone,
TERRITORIAL_WATERS,TERRITORIAL_WATERS,,
CONTIGUOUS ZONE,CONTIGUOUS ZONE,,
INTERNAL WATERS,INTERNAL WATERS,,
FISHERIES,FISHERIES,,
SECURITY,SECURITY,,
EO_SPILL_ALERTING_A,EO_SPILL_ALERTING_AREA,,"[{""name"":""country"",""label"":""Country"",""description"":""Country"",""optional"":false,""type"":""string""},{""name"":""remarks"",""label"":""Remarks"",""description"":""Remarks"",""optional"":true,""type"":""text""},{""name"":""abbrev"",""label"":""Abbreviation"",""description"":""CountryAbbreviation"",""optional"":false,""type"":""string""},{""name"":""subarea"",""label"":""Subarea"",""description"":""Subarea"",""optional"":false,""type"":""string""}]"
EO_ACT_ALERTING_AREA,EO_ACT_ALERTING_AREA,,"[{""name"":""country"",""label"":""Country"",""description"":""Country"",""optional"":false,""type"":""string""},{""name"":""remarks"",""label"":""Remarks"",""description"":""Remarks"",""optional"":true,""type"":""text""},{""name"":""abbrev"",""label"":""Abbreviation"",""description"":""CountryAbbreviation"",""optional"":false,""type"":""string""},{""name"":""subarea"",""label"":""Subarea"",""description"":""Subarea"",""optional"":false,""type"":""string""}]"
EO_SENSITIVE_AREA,EO_SENSITIVE_AREA,,"[{""name"":""country"",""label"":""Country"",""description"":""Country"",""optional"":false,""type"":""string""},{""name"":""remarks"",""label"":""Remarks"",""description"":""Remarks"",""optional"":true,""type"":""text""},{""name"":""abbrev"",""label"":""Abbreviation"",""description"":""CountryAbbreviation"",""optional"":false,""type"":""string""},{""name"":""subarea"",""label"":""Subarea"",""description"":""Subarea"",""optional"":false,""type"":""string""}]"
EO_COVERAGE_REQUIR,EO_COVERAGE_REQUIREMENTS,,"[{""name"":""title"",""label"":""Title"",""description"":""Title"",""optional"":false,""type"":""string""},{""name"":""january"",""label"":""January"",""description"":""January"",""optional"":false,""type"":""integer""},{""name"":""february"",""label"":""February"",""description"":""February"",""optional"":false,""type"":""integer""},{""name"":""march"",""label"":""March"",""description"":""March"",""optional"":false,""type"":""integer""},{""name"":""april"",""label"":""April"",""description"":""April"",""optional"":false,""type"":""integer""},{""name"":""may"",""label"":""May"",""description"":""May"",""optional"":false,""type"":""integer""},{""name"":""june"",""label"":""June"",""description"":""June"",""optional"":false,""type"":""integer""},{""name"":""july"",""label"":""July"",""description"":""July"",""optional"":false,""type"":""integer""},{""name"":""august"",""label"":""August"",""description"":""August"",""optional"":false,""type"":""integer""},{""name"":""september"",""label"":""September"",""description"":""September"",""optional"":false,""type"":""integer""},{""name"":""october"",""label"":""October"",""description"":""October"",""optional"":false,""type"":""integer""},{""name"":""november"",""label"":""November"",""description"":""November"",""optional"":false,""type"":""integer""},{""name"":""december"",""label"":""December"",""description"":""December"",""optional"":false,""type"":""integer""},{""name"":""comments"",""label"":""Comments"",""description"":""Comments"",""optional"":true,""type"":""text""},{""name"":""planinfo"",""label"":""Planinfo"",""description"":""Planinfo"",""optional"":true,""type"":""text""},{""name"":""country"",""label"":""Country"",""description"":""Country"",""optional"":false,""type"":""string""}]"
EO_TASKING_AREAS,EO_TASKING_AREAS,,"[{""name"":""planning_r"",""label"":""PlanningR"",""description"":""PlanningR"",""optional"":false,""type"":""string""},{""name"":""area"",""label"":""Area"",""description"":""Area"",""optional"":false,""type"":""float""},{""name"":""yearly_csn"",""label"":""YearlyCSN"",""description"":""YearlyCSN"",""optional"":false,""type"":""float""},{""name"":""csn_2009"",""label"":""CSN2009"",""description"":""CSN2009"",""optional"":false,""type"":""integer""},{""name"":""sp1"",""label"":""SP1"",""description"":""SP1"",""optional"":true,""type"":""string""},{""name"":""sp2"",""label"":""SP2"",""description"":""SP2"",""optional"":true,""type"":""string""},{""name"":""sp3"",""label"":""SP3"",""description"":""SP3"",""optional"":true,""type"":""string""},{""name"":""sp4"",""label"":""SP4"",""description"":""SP4"",""optional"":true,""type"":""string""}]"
LRIT_DDP,LRIT_DDP (standing orders 1000 NM. For IW and TW see above),LRIT_DDP (standing orders 1000 NM. For IW and TW see above),
LRIT_Sensitive_A,LRIT Sensitive Area Monitoring (currently for EU NAVFOR only horn of Africa),LRIT Sensitive Area Monitoring (currently for EU NAVFOR only horn of Africa),
MARINE_NATURAL_R,MARINE_NATURAL_RESERVE,,
ACCESS_RIGHTS_AREA,ACCESS_RIGHTS_AREA,,
SERVICE_AREA,SERVICE_AREA,For specific services e.g. EFCA Atlantic EUNAVFOR/ATALANTA SAFEMED TRACECA,
LRIT_EUDC,LRIT_EUDC FOR FRONTEX- MEDITERRANEAN AND THE NORTH AFRICA/CANARIAS/IBERIAN PENINSULA WATERS,LRIT EU DC data available for Frontex,
GLOBAL,GLOBAL,Global area,
ANOMALY_DETECTION,ANOMALY DETECTION SERVICE AREAS ON REQUEST,Specific areas covering areas of interest for anomaly detection service,
VESSEL_TRACK_REP,VESSEL TRACK REPORTING,Specific areas covering areas of interest ,
PSSA,PSSA,Particularily Sensitive Sea Area,
MRS,MRS,Mandatory Reporting System,
VTS,VTS,Vessel Traffic Service,
PLACE_OF_REFUGE_AL,PLACE OF REFUGE ALERTING AREA,POR,
MARITIME_ASSIST_SERV,MARITIME ASSISTANCE SERVICES,MAS,
PLACE_OF_REFUGE  ,PLACE OF REFUGE  ,POR,
AREAS_FOR_REC_INCID,AREAS FOR RECEIVING INCIDENT REPORTS ON SHIPS POSING A POTENTIAL HAZARD,Incident Report Areas,
AIS_BASE_STATION_COV,AIS BASE STATION COVERAGE,,
ANCHORAGE,ANCHORAGE,,
INSHORE_TRAFFIC_ZONE,INSHORE TRAFFIC ZONE,,
RECOMMENDED_ROUTE,RECOMMENDED ROUTE,,
AREA_CLOSED_FOR_NAV,AREA CLOSED FOR NAVIGATION,,
COUNTRIES,COUNTRIES,,
PORT_AREAS,PORT AREAS,,
SEA_OCEAN_BASINS,SEA /OCEAN BASINS,,
GENERAL_PURPOSE_AREA,GENERAL PURPOSE AREA,,
EU_BOUNDARY_AREA,EU BOUNDARY AREA,,
REGIONAL_AGREEMENTS,REGIONAL AGREEMENTS,,
CUSTOMISED_AREAS_L,CUSTOMISED AREAS/LINES (ACCESSIBILITY LEVEL PRIVATE AND PUBLIC),,
IRTC,INTERNAL RECOMMENDED TRANSIT CORRIDOR (IRTC),,
HRA,HIGH RISK AREA (HRA),All ships passing through the High Risk Area (an area bounded by Suez and the Strait of Hormuz to the North 10S and 78°E) are recommended to register with MSCHOA,
UKMTO_VOLUNTARY_REP,UKMTO VOLUNTARY REPORTING AREA,On entering the UKMTO Voluntary Reporting Area – an area bounded by Suez to the North 10°S and 78°E – ships are advised to send a UKMTO “Vessel Position Reporting Form - Initial Report”.,
PATROL_AREAS,PATROL AREAS,,
